Name,Date,Market_Cap
 HedgeTrade ,"May 08, 2019",0
 HedgeTrade ,"May 07, 2019",0
 HedgeTrade ,"May 06, 2019","5,451,878"
 HedgeTrade ,"Mar 12, 2019","14,252,877"
 HedgeTrade ,"Mar 11, 2019","17,174,263"
 HedgeTrade ,"Mar 10, 2019","13,086,624"
 HedgeTrade ,"Mar 09, 2019","23,173,156"
 HedgeTrade ,"Mar 08, 2019","22,837,752"
 HedgeTrade ,"Mar 07, 2019","21,474,479"
 HedgeTrade ,"Mar 06, 2019","21,834,129"
 HedgeTrade ,"Mar 05, 2019","22,615,513"
 HedgeTrade ,"Mar 04, 2019","23,298,215"
 HedgeTrade ,"Mar 03, 2019","23,766,436"
 HedgeTrade ,"Mar 02, 2019","25,162,273"
 HedgeTrade ,"Mar 01, 2019","23,084,431"
 HedgeTrade ,"Feb 28, 2019","21,152,154"
 HedgeTrade ,"Feb 27, 2019","18,131,792"
 HedgeTrade ,"Feb 26, 2019","17,853,604"
 HedgeTrade ,"Feb 25, 2019","16,242,783"
 Cosmos ,"Apr 17, 2020","455,177,327"
 HedgeTrade ,"Feb 24, 2019","16,009,459"
 HedgeTrade ,"Feb 23, 2019","15,971,593"
 HedgeTrade ,"Feb 22, 2019","15,663,338"
 HedgeTrade ,"Feb 21, 2019","15,308,906"
 HedgeTrade ,"Feb 20, 2019","14,191,959"
 HedgeTrade ,"Feb 19, 2019","13,872,661"
 HedgeTrade ,"Feb 18, 2019","12,274,790"
 HedgeTrade ,"Feb 17, 2019","12,220,319"
 HedgeTrade ,"Feb 16, 2019","12,287,362"
 HedgeTrade ,"Feb 15, 2019","11,549,498"
 HedgeTrade ,"Feb 14, 2019","12,201,963"
 HedgeTrade ,"Feb 13, 2019","10,807,323"
 HedgeTrade ,"Feb 12, 2019","10,846,938"
 Cosmos ,"Apr 16, 2020","460,708,587"
 Cosmos ,"Apr 15, 2020","433,896,451"
 Cosmos ,"Apr 14, 2020","447,453,001"
 Cosmos ,"Apr 13, 2020","431,176,158"
 Cosmos ,"Apr 12, 2020","444,727,040"
 Cosmos ,"Apr 11, 2020","439,446,037"
 Cosmos ,"Apr 10, 2020","440,100,717"
 Cosmos ,"Apr 09, 2020","492,913,012"
 Cosmos ,"Apr 08, 2020","471,383,887"
 Cosmos ,"Apr 07, 2020","447,713,629"
 Cosmos ,"Apr 06, 2020","454,230,787"
 Cosmos ,"Apr 05, 2020","394,073,736"
 Cosmos ,"Apr 04, 2020","386,378,416"
 Cosmos ,"Apr 03, 2020","377,661,967"
 HedgeTrade ,"Feb 11, 2019","10,190,585"
 HedgeTrade ,"Feb 10, 2019","9,789,471"
 HedgeTrade ,"Feb 09, 2019","10,152,579"
 HedgeTrade ,"Feb 08, 2019","9,480,997"
